tipo,debe_vh,debe_vc,pagador,receptor,fecha,observaciones,pagado
deuda,1020298.55,0.0,VH,VC,2025-04-08,FC 52 - PLAYKUK SA,True
deuda,154486.2,0.0,VH,VC,2025-04-08,FC 53 - PLAYKUK SA,True
deuda,1761714.88,0.0,VH,VC,2025-04-09,FC 36129 - BENABI,True
deuda,1230733.64,0.0,VH,VC,2025-04-09,FC 67771 - IBICO,True
deuda,353188.51,0.0,VH,VC,2025-04-10,FC 3994 - LA NACIONAL,False
deuda,1291467.27,0.0,VH,VC,2025-04-11,FC 62557 - POKA,True
deuda,1291467.27,0.0,VH,VC,2025-04-11,FC 62557 - POKA B,True
deuda,612395.08,0.0,VH,VC,2025-04-15,FC 36297 - BENABI,True
deuda,643175.0,0.0,VH,VC,2025-04-15,FC 240 - DAKESIAN DELFINA,True
deuda,137201.57,0.0,VH,VC,2025-04-15,FC 780 - SUEÑOS MAGICOS,True
deuda,136500.0,0.0,VH,VC,2025-04-16,FC 615 - HORIZONTE,True
deuda,359336.12,0.0,VH,VC,2025-04-16,FC 1199 - PLASTICOS LUCERO,False
deuda,238334.05,0.0,VH,VC,2025-04-16,FC 26115 - RECOR,False
deuda,489917.36,0.0,VH,VC,2025-04-16,FC 60239 - SOIFER,True
deuda,322103.47,0.0,VH,VC,2025-04-17,FC 10639 - MUNDO PLASTIC,True
deuda,515380.17,0.0,VH,VC,2025-04-21,FC 301 - JUGUETES FANTASIAS,True
deuda,950619.09,0.0,VH,VC,2025-04-21,FC 142 - LOPEZ NICOLAS R,True
deuda,284539.92,0.0,VH,VC,2025-04-22,FC 56121 - CAMPAGNA,True
deuda,134018.18,0.0,VH,VC,2025-04-22,FC 74155 - GO SHOP S.A,True
deuda,162446.28,0.0,VH,VC,2025-04-22,FC 74158 - GO SHOP S.A,True
deuda,479603.31,0.0,VH,VC,2025-04-22,FC 74159 - GO SHOP S.A,True
deuda,270434.38,0.0,VH,VC,2025-04-22,FC 74156 - GO SHOP S.A,True
deuda,266231.4,0.0,VH,VC,2025-04-22,FC 74157 - GO SHOP S.A,True
deuda,391491.78,0.0,VH,VC,2025-04-22,FC 142673 - MEDORO,True
deuda,283075.0,0.0,VH,VC,2025-04-22,FC 12809 - MENAJE EL SIGLO,True
deuda,3832001.4,0.0,VH,VC,2025-04-23,FC 3128 - BECHAR SRL,True
deuda,1247037.89,0.0,VH,VC,2025-04-23,FC 36609 - BENABI,True
deuda,2615578.51,0.0,VH,VC,2025-04-23,FC 8589 - GRIFLOR,True
deuda,441312.4,0.0,VH,VC,2025-04-24,FC 89 - NIPE IMPORTS,True
deuda,1616340.5,0.0,VH,VC,2025-04-24,FC 89 - NIPE IMPORTS B,True
deuda,325000.0,0.0,VH,VC,2025-04-24,FC 11439 - TALLERES GRAFICOS UNION,True
deuda,231815.79,0.0,VH,VC,2025-04-25,FC 38252 - LA PORTEÑA,True
deuda,2256622.73,0.0,VH,VC,2025-04-25,FC 60604 - SOIFER,True
deuda,366365.79,0.0,VH,VC,2025-04-28,FC 8510 - EL MUNDO DEL BAZAR,False
deuda,145118.68,0.0,VH,VC,2025-04-29,FC 1414 - COTILLON OTERO,True
deuda,3216289.17,0.0,VH,VC,2025-04-29,FC 16118 - MOLDURAS DEL PLATA,True
deuda,707625.45,0.0,VH,VC,2025-04-30,FC 12863 - MENAJE EL SIGLO,True
deuda,322530.0,0.0,VH,VC,2025-05-01,FC 1526 - CROSTY SRL,True
deuda,2860376.03,0.0,VH,VC,2025-05-03,FC 49958 - MODAX,True
deuda,4344215.91,0.0,VH,VC,2025-05-05,FC 37357 - PASTEUR 86,False
deuda,4344215.91,0.0,VH,VC,2025-05-05,FC 37357 - PASTEUR 86 B,True
deuda,2502379.67,0.0,VH,VC,2025-05-07,FC 3463 - BECHAR SRL,True
deuda,70883.31,0.0,VH,VC,2025-05-08,FC 36772 - BENABI,True
deuda,483544.67,0.0,VH,VC,2025-05-08,FC 36749 - BENABI,True
deuda,3343747.73,0.0,VH,VC,2025-05-09,FC 37472 - PASTEUR 86,False
deuda,3343747.73,0.0,VH,VC,2025-05-09,FC 37472 - PASTEUR 86 B,True
deuda,724015.12,0.0,VH,VC,2025-05-13,FC 1457 - COTILLON OTERO,True
deuda,161157.02,0.0,VH,VC,2025-05-13,FC 60979 - SOIFER,True
deuda,695230.87,0.0,VH,VC,2025-05-13,FC 7376 - TSUNAMI,True
deuda,2132585.54,0.0,VH,VC,2025-05-14,FC 3743 - BECHAR SRL,True
deuda,264555.37,0.0,VH,VC,2025-05-15,FC 61092 - SOIFER,True
deuda,322314.05,0.0,VH,VC,2025-05-15,FC 61098 - SOIFER,True
deuda,1963827.27,0.0,VH,VC,2025-05-16,FC 37599 - PASTEUR 86,False
deuda,1963827.27,0.0,VH,VC,2025-05-16,FC 37599 - PASTEUR 86 B,True
deuda,33628.1,0.0,VH,VC,2025-05-16,FC 61253 - SOIFER,True
deuda,551403.06,0.0,VH,VC,2025-05-19,FC 37010 - BENABI,True
deuda,173550.0,0.0,VH,VC,2025-05-19,FC 15900 - IMPORTAL GROUP,True
deuda,1405772.73,0.0,VH,VC,2025-05-20,FC 37641 - PASTEUR 86,False
deuda,1405772.73,0.0,VH,VC,2025-05-20,FC 37641 - PASTEUR 86 B,True
deuda,213161.86,0.0,VH,VC,2025-05-22,FC 23443 - BAG CENTER,True
deuda,370841.65,0.0,VH,VC,2025-05-22,FC 442 - ESETEPE S.R.L,True
deuda,60759.96,0.0,VH,VC,2025-05-22,FC 1179 - LIKBER,True
deuda,60759.96,0.0,VH,VC,2025-05-22,FC 1179 - LIKBER B,False
deuda,42573.93,0.0,VH,VC,2025-05-22,FC 55846 - POKA B,True
deuda,60759.96,0.0,VH,VC,2025-05-22,FC 1179 - POKA B,True
deuda,42573.93,0.0,VH,VC,2025-05-22,FC 55846 - SHIPY,True
deuda,826733.39,0.0,VH,VC,2025-05-22,FC 61428 - SOIFER,True
deuda,546257.31,0.0,VH,VC,2025-05-23,FC 264 - HERRUS,True
deuda,499304.21,0.0,VH,VC,2025-05-23,FC 19641 - IDEAS RODECA,True
deuda,1048619.75,0.0,VH,VC,2025-05-23,FC 127803 - IMPO. AMERICANA,True
deuda,514617.89,0.0,VH,VC,2025-05-23,FC 7239 - NAGUS S.R.L,True
deuda,463371.57,0.0,VH,VC,2025-05-23,FC 15820 - TRANCOSO,True
deuda,928059.26,0.0,VH,VC,2025-05-27,FC 2671 - ARTESANIAS MERCADO,True
deuda,1155547.98,0.0,VH,VC,2025-05-27,FC 9645 - COMPAÑÍA LUARCA,True
deuda,950905.41,0.0,VH,VC,2025-05-27,FC 20795 - SAO LEOPOLDO,True
deuda,1620036.36,0.0,VH,VC,2025-05-28,FC 37768 - PASTEUR 86,False
deuda,1620036.36,0.0,VH,VC,2025-05-28,FC 37768 - PASTEUR 86 B,True
deuda,80982.48,0.0,VH,VC,2025-05-28,FC 20799 - SAO LEOPOLDO,True
deuda,207967.23,0.0,VH,VC,2025-05-28,FC 20800 - SAO LEOPOLDO,True
deuda,1487021.12,0.0,VH,VC,2025-06-03,FC 16211 - MOLDURAS DEL PLATA,True
deuda,1142559.79,0.0,VH,VC,2025-06-03,FC 12141 - OPENING,True
deuda,126160.7,0.0,VH,VC,2025-06-03,FC 411 - OPENING,True
deuda,1571463.64,0.0,VH,VC,2025-06-03,FC 58672 - PASTEUR 86,False
deuda,1571463.64,0.0,VH,VC,2025-06-03,FC 58672 - PASTEUR 86 B,True
deuda,1631913.64,0.0,VH,VC,2025-06-04,FC 58697 - PASTEUR 86,False
deuda,1631913.64,0.0,VH,VC,2025-06-04,FC 58697 - PASTEUR 86 B,True
deuda,448577.89,0.0,VH,VC,2025-06-05,FC 50477 - MODAX,True
deuda,469700.74,0.0,VH,VC,2025-06-06,FC 39019 - LA PORTEÑA,True
deuda,37414.75,0.0,VH,VC,2025-06-06,FC 39020 - LA PORTEÑA,True
deuda,1116741.36,0.0,VH,VC,2025-06-06,FC 130143 - MERCATOR S.A,True
deuda,732854.59,0.0,VH,VC,2025-06-10,FC 13643 - COMERCIAL DAVIES,True
deuda,495000.79,0.0,VH,VC,2025-06-10,FC 1067 - MULPLAST SRL,True
deuda,311827.56,0.0,VH,VC,2025-06-11,FC 27130 - PLASTIPRESS,True
deuda,967687.23,0.0,VH,VC,2025-06-13,FC 251 - DAKESIAN DELFINA,True
deuda,659518.47,0.0,VH,VC,2025-06-26,FC 1057 - FUN TOYS,True
deuda,198250.0,0.0,VH,VC,2025-07-01,FC 6 - SORLUZ,True
deuda,956060.83,0.0,VH,VC,2025-07-02,FC 3742 - IND. PLASTICAS RAO,True
deuda,279902.36,0.0,VH,VC,2025-07-04,FC 27752 - RECOR,True
deuda,1363208.47,0.0,VH,VC,2025-07-08,FC 2445 - MIX S.R.L,True
deuda,23829.21,0.0,VH,VC,2025-07-09,FC 39856 - LA PORTEÑA,True
deuda,1038587.19,0.0,VH,VC,2025-07-17,FC 128894 - IMPO. AMERICANA,True
deuda,553355.74,0.0,VH,VC,2025-07-17,FC 21054 - SAO LEOPOLDO,True
deuda,1282624.05,0.0,VH,VC,2025-07-23,FC 23390 - PANA PACK,True
deuda,1572705.62,0.0,VH,VC,2025-07-23,FC 23391 - PANA PACK,True
deuda,1290480.99,0.0,VH,VC,2025-07-23,FC 23389 - PANA PACK,True
deuda,75341.45,0.0,VH,VC,2025-07-24,FC 23399 - PANA PACK,True
deuda,830511.45,0.0,VH,VC,2025-07-25,FC 18164 - DULCILANDIA-SWEET,True
deuda,1227274.67,0.0,VH,VC,2025-07-25,FC 1698 - FUN TOYS,True
deuda,817904.13,0.0,VH,VC,2025-07-25,FC 1699 - FUN TOYS,True
deuda,316435.04,0.0,VH,VC,2025-07-25,FC 3854 - SEBIGUS,True
deuda,327600.0,0.0,VH,VC,2025-07-28,FC 7053 - SEBILLE,True
deuda,512279.5,0.0,VH,VC,2025-07-29,FC 6673 - BECHAR SRL,True
deuda,4851198.18,0.0,VH,VC,2025-07-30,FC 186991 - VELAS DE LOS MILAGROS,True
deuda,871503.88,0.0,VH,VC,2025-07-31,FC 20497 - IDEAS RODECA,True
deuda,178821.98,0.0,VH,VC,2025-07-31,FC 7582 - NAGUS S.R.L,True
deuda,1191717.52,0.0,VH,VC,2025-08-04,FC 129307 - IMPO. AMERICANA,True
deuda,2286249.83,0.0,VH,VC,2025-08-04,FC 1079 - PERKUL,True
deuda,2211463.84,0.0,VH,VC,2025-08-05,FC 5274 - OLDCLAN,True
deuda,1687957.07,0.0,VH,VC,2025-08-08,FC 42662 - ELIPLAST,True
deuda,632580.0,0.0,VH,VC,2025-08-08,FC 352 - INDUSTRIAS KMG,True
deuda,228182.77,0.0,VH,VC,2025-08-11,FC 123 - CASTILLO - CORIZZO,True
deuda,574742.36,0.0,VH,VC,2025-08-11,FC 7665 - NAGUS S.R.L,True
deuda,1742320.7,0.0,VH,VC,2025-08-11,FC 26121 - STAR COMPANY,True
deuda,178869.26,0.0,VH,VC,2025-08-11,FC 26122 - STAR COMPANY,True
deuda,625039.46,0.0,VH,VC,2025-08-12,FC 20059 - FAIMEXPORT,True
deuda,4667276.65,0.0,VH,VC,2025-08-12,FC 211782 - RIGOLLEAU,True
deuda,270400.0,0.0,VH,VC,2025-08-14,FC 404 - INDUSTRIAS KMG,True
deuda,120556.74,0.0,VH,VC,2025-08-15,FC 6703 - DISEÑO RYD,True
deuda,550978.68,0.0,VH,VC,2025-08-18,FC 87155 - INDUSTRIAS MAYA,True
deuda,963845.79,0.0,VH,VC,2025-08-19,FC 15508 - ALUMINIO REAL,True
deuda,124800.0,0.0,VH,VC,2025-08-19,FC 434 - INDUSTRIAS KMG,True
deuda,1135721.36,0.0,VH,VC,2025-08-21,FC 3767 - IND. PLASTICAS RAO,True
deuda,261159.26,0.0,VH,VC,2025-08-22,FC 3442 - METALURGICA ZACCARA,True
deuda,80683.26,0.0,VH,VC,2025-08-25,FC 968 - EVACOR,True
deuda,467350.0,0.0,VH,VC,2025-08-26,FC 21296 - IMAGEN PARTY,True
deuda,867927.27,0.0,VH,VC,2025-08-27,FC 20821 - IDEAS RODECA,True
deuda,724139.21,0.0,VH,VC,2025-09-01,FC 8743 - EL MUNDO DEL BAZAR,True
deuda,261159.26,0.0,VH,VC,2025-09-02,FC 3446 - METALURGICA ZACCARA,True
deuda,543441.36,0.0,VH,VC,2025-09-04,FC 86375 - GRAVENT SA,True
deuda,671970.54,0.0,VH,VC,2025-09-04,FC 59455 - SKRIBE,True
deuda,396512.36,0.0,VH,VC,2025-09-05,FC 12669 - TRIGGER PACK,True
deuda,377835.87,0.0,VH,VC,2025-09-06,FC 27661 - PLASTIPRESS,True
deuda,539714.88,0.0,VH,VC,2025-09-08,FC 20952 - IDEAS RODECA,True
deuda,67911.57,0.0,VH,VC,2025-09-08,FC 2537 - ZABAWA SRL,True
deuda,781481.57,0.0,VH,VC,2025-09-09,FC 179 - PERFILPLAST,True
deuda,1485120.0,0.0,VH,VC,2025-09-10,FC 1807 - PALLADINO,True
deuda,1344567.98,0.0,VH,VC,2025-09-11,FC 4988 - MULTIMAX,True
deuda,133867.77,0.0,VH,VC,2025-09-11,FC 139 - TINK - RAPPOPORT,True
deuda,510977.36,0.0,VH,VC,2025-09-12,FC  - SALZANO,True
deuda,510977.36,0.0,VH,VC,2025-09-12,FC 1 - SALZANO,True
deuda,508289.79,0.0,VH,VC,2025-09-13,FC 66007 - POKA,True
deuda,508289.79,0.0,VH,VC,2025-09-13,FC 66007 - POKA B,True
deuda,286536.65,0.0,VH,VC,2025-09-16,FC 368 - BARICHEVAL,True
deuda,1370200.0,0.0,VH,VC,2025-09-18,FC 2028 - BARCEL,True
deuda,529035.54,0.0,VH,VC,2025-09-18,FC 7854 - NAGUS S.R.L,True
deuda,611206.82,0.0,VH,VC,2025-09-24,FC 2568 - ZABAWA SRL,True
deuda,262080.0,0.0,VH,VC,2025-09-26,FC 591 - INDUSTRIAS KMG,True
deuda,321795.66,0.0,VH,VC,2025-09-26,FC 29522 - RECOR,True
deuda,307690.12,0.0,VH,VC,2025-09-29,FC 667 - ENVASES PARANA,True
deuda,417246.28,0.0,VH,VC,2025-10-01,FC 18502 - DULCILANDIA,True
deuda,565460.79,0.0,VH,VC,2025-10-02,FC 26148 - AEROCOR,True
deuda,433413.02,0.0,VH,VC,2025-10-02,FC 51270 - PLASTICO BANPLAST,True
deuda,1293290.5,0.0,VH,VC,2025-10-09,FC 21232 - IDEAS RODECA,True
deuda,897000.0,0.0,VH,VC,2025-10-12,FC 274 - DAKESIAN DELFINA,True
deuda,300073.31,0.0,VH,VC,2025-10-15,FC 2067 - BOYANO GRACIELA,True
deuda,3476445.5,0.0,VH,VC,2025-10-15,FC 58505 - CAMPAGNA,True
deuda,1910016.4,0.0,VH,VC,2025-10-15,FC 58504 - CAMPAGNA,True
deuda,1465878.39,0.0,VH,VC,2025-10-16,FC 1354 - ALBERTO SCOLARI,True
deuda,125710.54,0.0,VH,VC,2025-10-16,FC 2532 - LIKBER,True
deuda,439187.81,0.0,VH,VC,2025-10-22,FC 196274 - VELAS DE LOS MILAGROS,True
deuda,1118608.64,0.0,VH,VC,2025-10-23,FC 32093 - HILO MAM,True
deuda,993219.88,0.0,VH,VC,2025-10-24,FC 3812 - IND. PLASTICAS RAO,True
deuda,466050.0,0.0,VH,VC,2025-10-27,FC 8849 - EL MUNDO DEL BAZAR,True
deuda,2371594.83,0.0,VH,VC,2025-10-27,FC 196722 - VELAS DE LOS MILAGROS,True
deuda,590361.69,0.0,VH,VC,2025-10-28,FC 8914 - GRIFLOR,True
deuda,28226201.65,0.0,VH,VC,2025-10-29,FC 1305 - ESTRADA,False
deuda,1415304.09,0.0,VH,VC,2025-10-30,FC 2758 - ARTESANIAS MERCADO,True
deuda,787643.68,0.0,VH,VC,2025-10-30,FC 2959 - ARTESANIAS MERCADO,True
deuda,1112550.21,0.0,VH,VC,2025-10-30,FC 64998 - QUALITET SA,True
deuda,238516.69,0.0,VH,VC,2025-10-30,FC 64999 - QUALITET SA,False
deuda,223249.75,0.0,VH,VC,2025-10-30,FC 65000 - QUALITET SA,False
deuda,1156560.58,0.0,VH,VC,2025-10-31,FC 51306 - LIBESA,True
deuda,1546893.1,0.0,VH,VC,2025-10-31,FC 2904 - PLASTICOS GLAGO,False
deuda,1690832.64,0.0,VH,VC,2025-11-03,FC 21482 - IDEAS RODECA,False
deuda,1841778.76,0.0,VH,VC,2025-11-03,FC 26898 - STAR COMPANY,True
deuda,1257805.33,0.0,VH,VC,2025-11-04,FC 131270 - IMPO. AMERICANA,False
deuda,242548.31,0.0,VH,VC,2025-11-04,FC 2907 - PLASTICOS GLAGO,False
deuda,530400.0,0.0,VH,VC,2025-11-05,FC 678 - INDUSTRIAS KMG,True
deuda,532853.35,0.0,VH,VC,2025-11-06,FC 77123 - LA CORPORACION,True
deuda,12808296.74,0.0,VH,VC,2025-11-10,FC 194185 - BIC,False
deuda,547108.22,0.0,VH,VC,2025-11-10,FC 28053 - PLASTIPRESS,True
deuda,1981937.56,0.0,VH,VC,2025-11-11,FC 58890 - CAMPAGNA,True
deuda,496375.99,0.0,VH,VC,2025-11-11,FC 58891 - CAMPAGNA,True
deuda,146124.3,0.0,VH,VC,2025-11-11,FC 77174 - LA CORPORACION,True
deuda,298397.81,0.0,VH,VC,2025-11-11,FC 24091 - PANA PACK,True
deuda,500958.22,0.0,VH,VC,2025-11-11,FC 6036 - PRODUCTOS BARCE,True
deuda,155516.53,0.0,VH,VC,2025-11-11,FC 6037 - PRODUCTOS BARCE,True
deuda,807841.49,0.0,VH,VC,2025-11-12,FC 11458 - MAGENTA COMPANY,False
deuda,417073.84,0.0,VH,VC,2025-11-14,FC 7553 - TSUNAMI,False
deuda,241856.4,0.0,VH,VC,2025-11-17,FC 2774 - ARTESANIAS MERCADO,False
deuda,306770.45,0.0,VH,VC,2025-11-17,FC 134945 - MERCATOR S.A,True
deuda,306295.04,0.0,VH,VC,2025-11-17,FC 7370 - MYM PARTY,True
deuda,518375.0,0.0,VH,VC,2025-11-17,FC 81 - SORLUZ,True
deuda,243758.6,0.0,VH,VC,2025-11-18,FC 2776 - ARTESANIAS MERCADO,False
deuda,212048.26,0.0,VH,VC,2025-11-19,FC 5249 - GRAFIGOLD,True
deuda,253081.53,0.0,VH,VC,2025-11-19,FC 5250 - GRAFIGOLD,True
deuda,95160.0,0.0,VH,VC,2025-11-19,FC 1434 - NAPTRES,True
deuda,652470.0,0.0,VH,VC,2025-11-20,FC 8870 - EL MUNDO DEL BAZAR,False
deuda,594191.86,0.0,VH,VC,2025-11-22,FC 46382 - POKA B,False
deuda,136016.53,0.0,VH,VC,2025-11-25,FC 142 - TINK - RAPPOPORT,True
deuda,1867320.0,0.0,VH,VC,2025-11-26,FC 26571 - AEROCOR,False
deuda,1460450.08,0.0,VH,VC,2025-11-26,FC 59107 - CAMPAGNA,False
deuda,611488.31,0.0,VH,VC,2025-11-26,FC 59108 - CAMPAGNA,False
deuda,247107.44,0.0,VH,VC,2025-11-26,FC 7557 - TSUNAMI,False
deuda,185760.33,0.0,VH,VC,2025-11-27,FC 387 - BARICHEVAL,True
deuda,767520.0,0.0,VH,VC,2025-11-27,FC 694 - DECOR NAVI,True
deuda,929770.21,0.0,VH,VC,2025-11-27,FC 21691 - IDEAS RODECA,False
deuda,305555.33,0.0,VH,VC,2025-11-27,FC 8368 - NAGUS S.R.L,False
deuda,2517160.99,0.0,VH,VC,2025-11-29,FC 5735 - DICHA S.A,True
deuda,907174.92,0.0,VH,VC,2025-12-01,FC 43885 - ELIPLAST,False
deuda,296103.47,0.0,VH,VC,2025-12-01,FC 43886 - ELIPLAST,False
deuda,552529.55,0.0,VH,VC,2025-12-01,FC 6805 - GRADUA,True
deuda,31210.74,0.0,VH,VC,2025-12-01,FC 6806 - GRADUA,True
deuda,552529.55,0.0,VH,VC,2025-12-01,FC 6805 - GRADUA B,True
deuda,31210.74,0.0,VH,VC,2025-12-01,FC 6806 - GRADUA B,True
deuda,297375.0,0.0,VH,VC,2025-12-03,FC 625 - HORIZONTE,False
deuda,462500.79,0.0,VH,VC,2025-12-03,FC 84 - SORLUZ,True
deuda,564007.15,0.0,VH,VC,2025-12-09,FC 5828 - DICHA S.A,False
deuda,1112804.83,0.0,VH,VC,2025-12-10,FC 2792 - ARTESANIAS MERCADO,False
deuda,899789.63,0.0,VH,VC,2025-12-11,FC 18838 - DULCILANDIA,True
deuda,347190.79,0.0,VH,VC,2025-12-11,FC 1106 - MULPLAST SRL,False
deuda,2720923.1,0.0,VH,VC,2025-12-12,FC 132109 - IMPO. AMERICANA,False
deuda,893023.72,0.0,VH,VC,2025-12-12,FC 16940 194 - MOLDURAS DEL PLATA,False
deuda,827272.73,0.0,VH,VC,2025-12-12,FC 7576 - TSUNAMI,False
deuda,3333465.37,0.0,VH,VC,2025-12-15,FC 21930 - IDEAS RODECA,False
deuda,411067.52,0.0,VH,VC,2025-12-15,FC 8509 - NAGUS S.R.L,False
deuda,1930423.72,0.0,VH,VC,2025-12-16,FC 5318 - MULTIMAX,False
deuda,379600.0,0.0,VH,VC,2025-12-17,FC 706 - EMERPLAST,False
deuda,874847.89,0.0,VH,VC,2025-12-18,FC 1355 - MATRICERIA JL,False
deuda,2025758.31,0.0,VH,VC,2025-12-18,FC 5950 - DICHA S.A,False
deuda,932719.92,0.0,VH,VC,2025-12-19,FC 9032 - GRIFLOR,False
deuda,1598887.19,0.0,VH,VC,2025-12-19,FC 3849 - IND. PLASTICAS RAO,False
deuda,1729210.58,0.0,VH,VC,2025-12-19,FC 16996 - MOLDURAS DEL PLATA,False
deuda,83833.88,0.0,VH,VC,2025-12-19,FC 8543 - NAGUS S.R.L,False
deuda,167351.9,0.0,VH,VC,2025-12-19,FC 8544 - NAGUS S.R.L,False
deuda,594191.86,0.0,VH,VC,2025-12-22,FC 46382 - BERKMA,False
deuda,1967486.07,0.0,VH,VC,2025-12-27,FC 5442 - OLDCLAN,False
deuda,18312795.41,0.0,VH,VC,2025-10-29,FC 130556 - ESTRADA,False
deuda,18312795.41,0.0,VH,VC,2025-10-29,FC 130556 - ESTRADA,False
deuda,3668836.9,0.0,VH,VC,2025-11-20,FC 131027 - ESTRADA,False
deuda,4208411.57,0.0,VH,VC,2025-12-16,FC 19835 - ME INTERNATIONAL,False
deuda,54977.11,0.0,VH,VC,2025-12-23,FC 61420 - POKA B,False
deuda,889444.42,0.0,VH,VC,2025-12-23,FC 61457 - POKA B,False
